id,url,last_modified,date,updated_by,responsible
pos-graduacao,https://www.sorocaba.unesp.br/#!/ensino/pos-graduacao,Atualizada em 08/Ago/2025 12:24 por Marcos Dionizio - Responsável: Rogerio Moreno Rosa,08/Ago/2025,Marcos Dionizio,Rogerio Moreno Rosa
programas,https://www.sorocaba.unesp.br/#!/ensino/pos-graduacao/programas,Atualizada em 02/Jul/2025 17:03 por Carlos Reche - Responsável: Carlos Reche,02/Jul/2025,Carlos Reche,Carlos Reche
contato,https://www.sorocaba.unesp.br/#!/ensino/pos-graduacao/contato,Atualizada em 02/Jul/2025 17:03 por Carlos Reche - Responsável: Carlos Reche,02/Jul/2025,Carlos Reche,Carlos Reche
comissao-permanente-de-ensino,https://www.sorocaba.unesp.br/#!/ensino/comissao-permanente-de-ensino,Atualizada em 29/Set/2023 16:15 por Carlos Reche - Responsável: Carlos Reche,29/Set/2023,Carlos Reche,Carlos Reche
atas-e-pautas,https://www.sorocaba.unesp.br/#!/ensino/comissao-permanente-de-ensino/atas-e-pautas,Atualizada em 16/Jun/2025 07:49 por Marcos Dionizio - Responsável: Marcos Dionizio,16/Jun/2025,Marcos Dionizio,Marcos Dionizio
calendario,https://www.sorocaba.unesp.br/#!/ensino/comissao-permanente-de-ensino/calendario,Atualizada em 25/Nov/2024 15:23 por Marcos Dionizio - Responsável: Marcos Dionizio,25/Nov/2024,Marcos Dionizio,Marcos Dionizio
composicao,https://www.sorocaba.unesp.br/#!/ensino/comissao-permanente-de-ensino/composicao,Atualizada em 09/Dez/2024 09:04 por Marcos Dionizio - Responsável: Marcos Dionizio,09/Dez/2024,Marcos Dionizio,Marcos Dionizio
pesquisa,https://www.sorocaba.unesp.br/#!/pesquisa,Atualizada em 16/Jun/2025 07:49 por Marcos Dionizio - Responsável: Marcos Dionizio,16/Jun/2025,Marcos Dionizio,Marcos Dionizio
escritorio-de-apoio-a-pesquisa,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa,Atualizada em 16/Jun/2025 07:49 por Marcos Dionizio - Responsável: Marcos Dionizio,16/Jun/2025,Marcos Dionizio,Marcos Dionizio
apresentacao,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/apresentacao,Atualizada em 15/Jul/2025 13:38 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,15/Jul/2025,Aline Souza Magalhães,Aline Souza Magalhães
bolsista,https://www.sorocaba.unesp.br/#!/pesquisa/escritorio-de-apoio-a-pesquisa/bolsista,Atualizada em 15/Jul/2025 13:38 por Aline Souza Magalhães - Responsável: Aline Souza Magalhães,15/Jul/2025,Aline Souza Magalhães,Aline Souza Magalhães
